Codebase,Path,Line,tool,Checker,Message,Error,Verdict,Notes
git,builtin/fast-import.c,1274,cppcheck,nullPointerArithmeticRedundantCheck,"Either the condition '!buf' is redundant or there is pointer arithmetic with NULL pointer.",???,Unknown,
git,builtin/fast-import.c,1286,cppcheck,nullPointerRedundantCheck,"Either the condition '!c' is redundant or there is possible null pointer dereference, c.",???,Unknown,
git,builtin/fast-import.c,2548,cppcheck,nullPointerRedundantCheck,"Either the condition '!buf' is redundant or there is possible null pointer dereference, buf.",???,Unknown,
git,builtin/fast-import.c,3332,cppcheck,nullPointerRedundantCheck,"Either the condition '!f' is redundant or there is possible null pointer dereference, f.",???,Unknown,
git,builtin/fast-import.c,3333,cppcheck,nullPointerArithmeticRedundantCheck,"Either the condition '!f' is redundant or there is pointer arithmetic with NULL pointer.",???,Unknown,
git,builtin/fetch.c,623,cppcheck,nullPointerRedundantCheck,"Either the condition '!ref_map' is redundant or there is possible null pointer dereference, ref_map.",???,Unknown,
git,builtin/push.c,671,cppcheck,nullPointerRedundantCheck,"Either the condition '!remote' is redundant or there is possible null pointer dereference, remote.",???,Unknown,
git,builtin/rev-parse.c,721,cppcheck,nullPointerRedundantCheck,"Either the condition '!gitdir' is redundant or there is possible null pointer dereference, gitdir.",???,Unknown,
git,builtin/rev-parse.c,772,cppcheck,nullPointerRedundantCheck,"Either the condition '!arg' is redundant or there is possible null pointer dereference, arg.",???,Unknown,
git,builtin/unpack-objects.c,238,cppcheck,nullPointerRedundantCheck,"Either the condition '!obj_buf' is redundant or there is possible null pointer dereference, obj_buf.",???,Unknown,
git,builtin/unpack-objects.c,300,cppcheck,nullPointerRedundantCheck,"Either the condition '!obj' is redundant or there is possible null pointer dereference, obj.",???,Unknown,
git,builtin/unpack-objects.c,411,cppcheck,nullPointerRedundantCheck,"Either the condition '!blob' is redundant or there is possible null pointer dereference, blob.",???,Unknown,
git,builtipack-redundant.c,477,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'next' results in a dereference of a null pointer (loaded from variable 'pl')",???,Unknown,
git,builtipull.c,757,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 1st parameter expecting 'nonnull'",???,Unknown,
git,builtirebase.c,1664,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 1st parameter expecting 'nonnull'",???,Unknown,
git,builtirebase.c,1730,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 1st parameter expecting 'nonnull'",???,Unknown,
git,builtisubmodule--helper.c,1249,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'name' results in a dereference of a null pointer (loaded from variable 'sub')",???,Unknown,
git,combine-diff.c,258,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'prev' results in a dereference of a null pointer (loaded from variable 'newend')",???,Unknown,
git,combine-diff.c,266,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'prev' results in a dereference of a null pointer (loaded from variable 'lline')",???,Unknown,
git,commit-graph.c,2057,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'odb' results in a dereference of a null pointer (loaded from variable 'g')",???,Unknown,
git,commit-reach.c,812,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'flags' results in a dereference of a null pointer (loaded from field 'item')",???,Unknown,
git,convert.c,42,clang-tidy,clang-analyzer-core.NullDereference,"Array access (from variable 'buf') results in a null pointer dereference",???,Unknown,
git,convert.c,562,clang-tidy,clang-analyzer-core.NullDereference,"Dereference of null pointer",???,Unknown,
git,diff.c,999,clang-tidy,clang-analyzer-core.NullDereference,"Dereference of null pointer",???,Unknown,
git,diff.c,1002,clang-tidy,clang-analyzer-core.NullDereference,"Dereference of null pointer",???,Unknown,
git,diff.c,2075,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 1st parameter expecting 'nonnull'",???,Unknown,
git,diffcore-break.c,291,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'broken_pair' results in a dereference of a null pointer (loaded from variable 'pp')",???,Unknown,
git,dir.c,2461,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'dirs_nr' results in a dereference of a null pointer (loaded from field 'untracked')",???,Unknown,
git,dir.h,540,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'ce_namelen' results in a dereference of a null pointer (loaded from variable 'ce')",???,Unknown,
git,git-compat-util.h,1099,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 1st parameter expecting 'nonnull'",???,Unknown,
git,git-compat-util.h,1276,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 1st parameter expecting 'nonnull'",???,Unknown,
git,hash.h,268,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 2nd parameter expecting 'nonnull'",???,Unknown,
git,kwset.c,466,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'next' results in a dereference of a null pointer (loaded from field 'trie')",return "error";,Suspicious,
git,kwset.c,637,clang-tidy,clang-analyzer-core.NullDereference,"Array access results in a null pointer dereference",return -1;,Suspicious,
git,line-log.c,873,clang-tidy,clang-analyzer-core.NullDereference,"Array access (from variable 'ends') results in a null pointer dereference",???,Unknown,
git,merge-ort.c,4341,clang-tidy,clang-analyzer-core.NullDereference,"Dereference of null pointer",???,Unknown,
git,merge-ort.c,5066,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'call_depth' results in a dereference of a null pointer (loaded from field 'priv')",???,Unknown,
git,merge-recursive.c,3352,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'pair' results in a dereference of a null pointer (loaded from field 'ren2')",???,Unknown,
git,merge-recursive.c,3365,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'pair' results in a dereference of a null pointer (loaded from field 'ren2')",???,Unknown,
git,notes.c,672,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'next' results in a dereference of a null pointer (loaded from variable 'tws')",???,Unknown,
git,object-file.c,426,clang-tidy,clang-analyzer-core.NullDereference,"Array access (via field 'hash') results in a null pointer dereference",???,Unknown,
git,pack-write.c,258,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 1st parameter expecting 'nonnull'",???,Unknown,
git,parse-options.c,851,clang-tidy,clang-analyzer-core.NullDereference,"Dereference of null pointer (loaded from field 'opt')",???,Unknown,
git,parse-options.c,992,clang-tidy,clang-analyzer-core.NullDereference,"Dereference of null pointer (loaded from field 'opt')",???,Unknown,
git,pretty.c,1633,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 1st parameter expecting 'nonnull'",???,Unknown,
git,pretty.c,2178,clang-tidy,clang-analyzer-core.NullDereference,"Array access (from variable 'msg') results in a null pointer dereference",???,Unknown,
git,range-diff.c,531,clang-tidy,clang-analyzer-core.NullDereference,"Dereference of null pointer",???,Unknown,
git,ref-filter.c,925,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 1st parameter expecting 'nonnull'",???,Unknown,
git,ref-filter.c,929,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 1st parameter expecting 'nonnull'",???,Unknown,
git,ref-filter.c,1994,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'type' results in a dereference of an undefined pointer value (loaded from variable 'obj')",???,Unknown,
git,refiterator.c,13,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'vtable' results in a dereference of a null pointer (loaded from variable 'ref_iterator')",???,Unknown,
git,refiterator.c,161,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'refname' results in a dereference of a null pointer",???,Unknown,
git,reftable/block.c,445,cppcheck,nullPointerRedundantCheck,"Either the condition 'blockp' is redundant or there is possible null pointer dereference, blockp.",???,Unknown,
git,reftablreader.c,329,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'full_block_size' results in a dereference of a null pointer (loaded from field 'br')",???,Unknown,
git,remote.c,1024,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 1st parameter expecting 'nonnull'",???,Unknown,
git,revision.c,1124,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'parents' results in a dereference of a null pointer (loaded from variable 'p')",return -1;,False,
git,revision.c,1432,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'date' results in a dereference of a null pointer (loaded from variable 'commit')",return -1;,Suspicious,
git,revision.c,1436,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'flags' results in a dereference of a null pointer (loaded from variable 'obj')",return -1;,Suspicious,
git,revision.c,1871,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'type' results in a dereference of a null pointer (loaded from variable 'it')",return 0;,Suspicious,
git,sequencer.c,1260,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'buf' results in a dereference of a null pointer (loaded from variable 'msg')",???,Unknown,
git,sequencer.c,1474,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'parents' results in a dereference of a null pointer (loaded from variable 'current_head')",???,Unknown,
git,sequencer.c,1589,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'buf' results in a dereference of a null pointer (loaded from variable 'msg')",???,Unknown,
git,setup.c,364,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 1st parameter expecting 'nonnull'",???,Unknown,
git,strbuf.c,101,clang-tidy,clang-analyzer-core.NullDereference,"Array access (via field 'buf') results in a null pointer dereference",???,Unknown,
git,strbuf.h,166,clang-tidy,clang-analyzer-core.NullDereference,"Array access (via field 'buf') results in a null pointer dereference",???,Unknown,
git,strbuf.h,305,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 1st parameter expecting 'nonnull'",???,Unknown,
git,strmap.h,189,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'default_value' results in a dereference of a null pointer (loaded from variable 'map')",???,Unknown,
git,strvec.c,19,clang-tidy,clang-analyzer-core.NullDereference,"Array access (via field 'v') results in a null pointer dereference",???,Unknown,
git,trace2/tr2_tgt_normal.c,173,cppcheck,nullPointerRedundantCheck,"Either the condition 'parent_names' is redundant or there is possible null pointer dereference, parent_names++.",???,Unknown,
git,trace2/tr2_tgt_normal.c,173,cppcheck,nullPointerArithmeticRedundantCheck,"Either the condition 'parent_names' is redundant or there is pointer arithmetic with NULL pointer.",???,Unknown,
git,transport.c,936,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 1st parameter expecting 'nonnull'",???,Unknown,
git,transport.c,943,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 1st parameter expecting 'nonnull'",???,Unknown,
git,unpack-trees.c,2446,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 2nd parameter expecting 'nonnull'",???,Unknown,
git,unpack-trees.c,2453,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'ce_namelen' results in a dereference of a null pointer (loaded from variable 'ce')",???,Unknown,
git,unpack-trees.c,2494,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'ce_flags' results in a dereference of a null pointer (loaded from variable 'ce')",???,Unknown,
zeek,auxil/broker/3rdparty/sqlite3.c,71844,cppcheck,nullPointerRedundantCheck,"Either the condition 'pIdxKey' is redundant or there is possible null pointer dereference, pIdxKey.",???,Unknown,
zeek,auxil/broker/3rdparty/sqlite3.c,71845,cppcheck,nullPointerRedundantCheck,"Either the condition 'pIdxKey' is redundant or there is possible null pointer dereference, pIdxKey.",???,Unknown,
zeek,auxil/broker/3rdparty/sqlite3.c,84675,cppcheck,nullPointerRedundantCheck,"Either the condition 'pIdxKey' is redundant or there is possible null pointer dereference, p.",???,Unknown,
zeek,auxil/broker/3rdparty/sqlite3.c,100154,cppcheck,nullPointer,"Possible null pointer dereference, p",???,Unknown,
zeek,auxil/broker/3rdparty/sqlite3.c,120197,cppcheck,nullPointer,"Null pointer dereference, (struct VTable*)0",???,Unknown,
zeek,auxil/broker/3rdparty/sqlite3.c,134032,cppcheck,nullPointerRedundantCheck,"Either the condition 'ppStmt==0' is redundant or there is possible null pointer dereference, ppStmt.",???,Unknown,
zeek,auxil/broker/3rdparty/sqlite3.c,134032,cppcheck,nullPointerRedundantCheck,"Either the condition 'ppStmt==0' is redundant or there is possible null pointer dereference, ppStmt.",???,Unknown,
zeek,auxil/broker/3rdparty/sqlite3.c,134180,cppcheck,nullPointerRedundantCheck,"Either the condition 'ppStmt==0' is redundant or there is possible null pointer dereference, ppStmt.",???,Unknown,
zeek,auxil/broker/3rdparty/sqlite3.c,136375,cppcheck,nullPointerRedundantCheck,"Either the condition 'pColExpr!=0' is redundant or there is possible null pointer dereference, pColExpr.",???,Unknown,
zeek,auxil/broker/3rdparty/sqlite3.c,137928,cppcheck,nullPointerRedundantCheck,"Either the condition 'pSubst->pEList!=0' is redundant or there is possible null pointer dereference, pSubst->pEList.",???,Unknown,
zeek,auxil/broker/3rdparty/sqlite3.c,142743,cppcheck,nullPointer,"Possible null pointer dereference, pEList",???,Unknown,
zeek,auxil/broker/3rdparty/sqlite3.c,173057,cppcheck,nullPointerRedundantCheck,"Either the condition 'zFilename' is redundant or there is possible null pointer dereference, zFilename.",???,Unknown,
zeek,auxil/broker/3rdparty/sqlite3.c,173107,cppcheck,nullPointerArithmeticRedundantCheck,"Either the condition 'zFilename' is redundant or there is pointer arithmetic with NULL pointer.",???,Unknown,
zeek,auxil/broker/3rdparty/sqlite3.c,229771,cppcheck,nullPointerArithmeticRedundantCheck,"Either the condition 'pIter->aPoslist' is redundant or there is pointer arithmetic with NULL pointer.",???,Unknown,
zeek,auxil/broker/caf/libcaf_io/src/io/basp/instance.cpp,323,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Forming reference to null pointer",return ?;,Suspicious,ctx could be NULL but not payload &
zeek,auxil/broker/caf/libcaf_io/src/io/basp/instance.cpp,379,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Forming reference to null pointer",return ?;,Suspicious,ctx could be NULL but not payload &
zeek,auxil/broker/caf/libcaf_io/src/io/basp/instance.cpp,401,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Forming reference to null pointer",return ?;,Suspicious,ctx could be NULL but not payload &
zeek,auxil/broker/caf/libcaf_io/src/io/basp/instance.cpp,427,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Forming reference to null pointer",return ?;,Suspicious,last_hop could be NULL but not payload &
zeek,auxil/broker/caf/libcaf_io/src/io/basp/instance.cpp,453,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Forming reference to null pointer",return ?;,Suspicious,last_hop could be NULL but not payload &
zeek,auxil/broker/caf/libcaf_io/src/io/basp/instance.cpp,460,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Forming reference to null pointer",return ?;,Suspicious,ctx could be NULL but not payload &
zeek,auxil/broker/caf/libcaf_io/src/io/basp/instance.cpp,476,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Forming reference to null pointer",return ?;,Suspicious,ctx could be NULL but not payload &
zeek,auxil/broker/caf/libcaf_io/src/io/network/interfaces.cpp,105,cppcheck,nullPointer,"Null pointer dereference",???,Unknown,
zeek,auxil/rapidjson/include/rapidjson/internal/itoa.h,298,clang-tidy,clang-analyzer-core.NullDereference,"Dereference of null pointer",???,Unknown,
zeek,auxil/spicy/spicy/3rdparty/justrx/src/tests/testregex.c,734,cppcheck,nullPointerRedundantCheck,"Either the condition 'e' is redundant or there is possible null pointer dereference, ++s.",???,Unknown,
zeek,auxil/zeekctl/auxil/pysubnettree/patricia.c,589,cppcheck,nullPointerRedundantCheck,"Either the condition 'node' is redundant or there is possible null pointer dereference, node.",???,Unknown,
zeek,build/auxil/bifcl/bif_lex.cc,1668,cppcheck,nullPointer,"Possible null pointer dereference, b",???,Unknown,
zeek,build/auxil/bifcl/bif_lex.cc,1669,cppcheck,nullPointer,"Possible null pointer dereference, b",???,Unknown,
zeek,build/auxil/binpac/pac_scan.cc,2142,cppcheck,nullPointer,"Possible null pointer dereference, b",???,Unknown,
zeek,build/auxil/binpac/pac_scan.cc,2143,cppcheck,nullPointer,"Possible null pointer dereference, b",???,Unknown,
zeek,auxil/paraglob/src/ahocorasick/ahocorasick.c,61,rosecheckers,EXP34-C,"Ensure pointer is valid before dereferencing it",return NULL;,True,
zeek,auxil/paraglob/src/ahocorasick/mpool.c,65,rosecheckers,EXP34-C,"Ensure pointer is valid before dereferencing it",return NULL;,True,
zeek,auxil/paraglob/src/ahocorasick/mpool.c,84,rosecheckers,EXP34-C,"Ensure pointer is valid before dereferencing it",return NULL;,True,
zeek,auxil/spicy/spicy/3rdparty/justrx/src/ccl.c,13,rosecheckers,EXP34-C,"Ensure pointer is valid before dereferencing it",???,Unknown,
zeek,auxil/spicy/spicy/3rdparty/justrx/src/ccl.c,244,rosecheckers,EXP34-C,"Ensure pointer is valid before dereferencing it",???,Unknown,
zeek,auxil/spicy/spicy/3rdparty/justrx/src/dfa-interpreter-std.c,49,rosecheckers,EXP34-C,"Ensure pointer is valid before dereferencing it",???,Unknown,
zeek,auxil/spicy/spicy/3rdparty/justrx/src/dfa-interpreter-std.c,304,rosecheckers,EXP34-C,"Ensure pointer is valid before dereferencing it",???,Unknown,
zeek,auxil/spicy/spicy/3rdparty/justrx/src/nfa.c,123,rosecheckers,EXP34-C,"Ensure pointer is valid before dereferencing it",???,Unknown,
zeek,auxil/spicy/spicy/3rdparty/justrx/src/nfa.c,150,rosecheckers,EXP34-C,"Ensure pointer is valid before dereferencing it",???,Unknown,
zeek,auxil/highwayhash/highwayhash/os_specific.cc,127,rosecheckers,EXP34-C,"Ensure pointer is valid before dereferencing it",return NULL;,True,
zeek,build/auxil/zeekctl/auxil/pysubnettree/CMakeFiles/SubnetTree.dir/SubnetTreePYTHON_wrap.cxx,811,rosecheckers,EXP34-C,"Ensure pointer is valid before dereferencing it",???,Unknown,
zeek,build/auxil/zeekctl/auxil/pysubnettree/CMakeFiles/SubnetTree.dir/SubnetTreePYTHON_wrap.cxx,1483,rosecheckers,EXP34-C,"Ensure pointer is valid before dereferencing it",???,Unknown,
zeek,auxil/zeekctl/auxil/pysubnettree/SubnetTree.cc,18,rosecheckers,EXP34-C,"Ensure pointer is valid before dereferencing it",return NULL;,True,
zeek,auxil/zeek-aux/rst/rst.c,169,rosecheckers,EXP34-C,"Ensure pointer is valid before dereferencing it",None,True,
zeek,build/src/re-scan.cc,2169,cppcheck,nullPointer,"Possible null pointer dereference, b",???,Unknown,
zeek,build/src/re-scan.cc,2170,cppcheck,nullPointer,"Possible null pointer dereference, b",???,Unknown,
zeek,src/3rdparty/patricia.c,223,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 1st parameter expecting 'nonnull'",???,Unknown,
zeek,src/3rdparty/patricia.c,242,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 1st parameter expecting 'nonnull'",???,Unknown,
zeek,src/3rdparty/patricia.c,379,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'maxbits' results in a dereference of a null pointer (loaded from variable 'patricia')",???,Unknown,
zeek,src/3rdparty/patricia.c,379,cppcheck,nullPointerRedundantCheck,"Either the condition 'patricia==NULL' is redundant or there is possible null pointer dereference, patricia.",???,Unknown,
zeek,src/3rdparty/patricia.c,380,cppcheck,nullPointerRedundantCheck,"Either the condition 'patricia==NULL' is redundant or there is possible null pointer dereference, patricia.",???,Unknown,
zeek,src/3rdparty/patricia.c,381,cppcheck,nullPointerRedundantCheck,"Either the condition 'patricia==NULL' is redundant or there is possible null pointer dereference, patricia.",???,Unknown,
zeek,src/3rdparty/patricia.c,568,cppcheck,nullPointerRedundantCheck,"Either the condition 'node' is redundant or there is possible null pointer dereference, node.",???,Unknown,
zeek,src/3rdparty/patricia.c,636,clang-tidy,clang-analyzer-core.NullDereference,"Array access (from variable 'outlist') results in a null pointer dereference",???,Unknown,
zeek,src/3rdparty/patricia.c,665,cppcheck,nullPointerRedundantCheck,"Either the condition 'node' is redundant or there is possible null pointer dereference, node.",???,Unknown,
zeek,src/3rdparty/patricia.c,755,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'bit' results in a dereference of a null pointer (loaded from variable 'node')",???,Unknown,
zeek,src/3rdparty/patricia.c,755,cppcheck,nullPointerRedundantCheck,"Either the condition 'node==NULL' is redundant or there is possible null pointer dereference, node.",???,Unknown,
zeek,src/3rdparty/patricia.c,756,cppcheck,nullPointerRedundantCheck,"Either the condition 'node==NULL' is redundant or there is possible null pointer dereference, node.",???,Unknown,
zeek,src/3rdparty/patricia.c,757,cppcheck,nullPointerRedundantCheck,"Either the condition 'node==NULL' is redundant or there is possible null pointer dereference, node.",???,Unknown,
zeek,src/3rdparty/patricia.c,758,cppcheck,nullPointerRedundantCheck,"Either the condition 'node==NULL' is redundant or there is possible null pointer dereference, node.",???,Unknown,
zeek,src/3rdparty/patricia.c,759,cppcheck,nullPointerRedundantCheck,"Either the condition 'node==NULL' is redundant or there is possible null pointer dereference, node.",???,Unknown,
zeek,src/3rdparty/patricia.c,867,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'bit' results in a dereference of a null pointer (loaded from variable 'new_node')",???,Unknown,
zeek,src/3rdparty/patricia.c,867,cppcheck,nullPointerRedundantCheck,"Either the condition 'new_node==NULL' is redundant or there is possible null pointer dereference, new_node.",???,Unknown,
zeek,src/3rdparty/patricia.c,868,cppcheck,nullPointerRedundantCheck,"Either the condition 'new_node==NULL' is redundant or there is possible null pointer dereference, new_node.",???,Unknown,
zeek,src/3rdparty/patricia.c,869,cppcheck,nullPointerRedundantCheck,"Either the condition 'new_node==NULL' is redundant or there is possible null pointer dereference, new_node.",???,Unknown,
zeek,src/3rdparty/patricia.c,870,cppcheck,nullPointerRedundantCheck,"Either the condition 'new_node==NULL' is redundant or there is possible null pointer dereference, new_node.",???,Unknown,
zeek,src/3rdparty/patricia.c,871,cppcheck,nullPointerRedundantCheck,"Either the condition 'new_node==NULL' is redundant or there is possible null pointer dereference, new_node.",???,Unknown,
zeek,src/3rdparty/patricia.c,916,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'bit' results in a dereference of a null pointer (loaded from variable 'glue')",???,Unknown,
zeek,src/3rdparty/patricia.c,916,cppcheck,nullPointerRedundantCheck,"Either the condition 'glue==NULL' is redundant or there is possible null pointer dereference, glue.",???,Unknown,
zeek,src/3rdparty/patricia.c,917,cppcheck,nullPointerRedundantCheck,"Either the condition 'glue==NULL' is redundant or there is possible null pointer dereference, glue.",???,Unknown,
zeek,src/3rdparty/patricia.c,918,cppcheck,nullPointerRedundantCheck,"Either the condition 'glue==NULL' is redundant or there is possible null pointer dereference, glue.",???,Unknown,
zeek,src/3rdparty/patricia.c,919,cppcheck,nullPointerRedundantCheck,"Either the condition 'glue==NULL' is redundant or there is possible null pointer dereference, glue.",???,Unknown,
zeek,src/3rdparty/sqlite3.c,24516,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'xWrite' results in a dereference of a null pointer (loaded from field 'pMethods')",???,Unknown,
zeek,src/3rdparty/sqlite3.c,24527,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'xFileSize' results in a dereference of a null pointer (loaded from field 'pMethods')",???,Unknown,
zeek,src/3rdparty/sqlite3.c,30462,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 2nd parameter expecting 'nonnull'",???,Unknown,
zeek,src/3rdparty/sqlite3.c,60778,clang-tidy,clang-analyzer-core.NullDereference,"Dereference of null pointer (loaded from variable 'pbOpen')",???,Unknown,
zeek,src/3rdparty/sqlite3.c,62633,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 1st parameter expecting 'nonnull'",???,Unknown,
zeek,src/3rdparty/sqlite3.c,71844,cppcheck,nullPointerRedundantCheck,"Either the condition 'pIdxKey' is redundant or there is possible null pointer dereference, pIdxKey.",???,Unknown,
zeek,src/3rdparty/sqlite3.c,71845,cppcheck,nullPointerRedundantCheck,"Either the condition 'pIdxKey' is redundant or there is possible null pointer dereference, pIdxKey.",???,Unknown,
zeek,src/3rdparty/sqlite3.c,72851,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 2nd parameter expecting 'nonnull'",???,Unknown,
