Codebase,Checker,Path,Line,Message,tool
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_bool.hpp,39,Label 'e_has_fa' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_bool.hpp,42,Label 'e_has_fal' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_bool.hpp,45,Label 'e_has_fals' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_bool.hpp,48,Label 'e_has_t' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_bool.hpp,51,Label 'e_has_tr' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_bool.hpp,54,Label 'e_has_tru' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_bool.hpp,57,Label 'e_done' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_floating_point.hpp,99,Label 'e_init' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_floating_point.hpp,104,Label 'e_regular_init' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_floating_point.hpp,111,Label 'e_has_sign' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_floating_point.hpp,116,Label 'e_zero' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_floating_point.hpp,120,Label 'e_dec' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_floating_point.hpp,125,Label 'e_after_dec' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_floating_point.hpp,130,Label 'e_leading_dot' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_floating_point.hpp,134,Label 'e_trailing_dot' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_floating_point.hpp,138,Label 'e_after_dot' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_floating_point.hpp,144,Label 'e_has_e' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_floating_point.hpp,150,Label 'e_has_plus_after_e' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_floating_point.hpp,154,Label 'e_has_minus_after_e' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_floating_point.hpp,159,Label 'e_pos_exp' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_floating_point.hpp,164,Label 'e_neg_exp' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_number.hpp,57,Label 'e_init' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_number.hpp,67,Label 'e_has_plus' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_number.hpp,74,Label 'e_has_minus' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_number.hpp,82,Label 'e_pos_zero' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_number.hpp,88,Label 'e_neg_zero' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_number.hpp,95,Label 'e_start_pos_bin' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_number.hpp,98,Label 'e_pos_bin' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_number.hpp,101,Label 'e_start_neg_bin' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_number.hpp,104,Label 'e_neg_bin' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_number.hpp,108,Label 's_start_pos_oct' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_number.hpp,108,Label 'e_start_pos_oct' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_number.hpp,111,Label 'e_pos_oct' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_number.hpp,115,Label 's_start_neg_oct' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_number.hpp,115,Label 'e_start_neg_oct' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_number.hpp,118,Label 'e_neg_oct' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_number.hpp,123,Label 'e_start_pos_hex' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_number.hpp,126,Label 'e_pos_hex' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_number.hpp,130,Label 'e_start_neg_hex' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_number.hpp,133,Label 'e_neg_hex' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_number.hpp,138,Label 'e_pos_dec' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_number.hpp,147,Label 'e_neg_dec' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_number.hpp,155,Label 'e_pos_dot' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_number.hpp,164,Label 'e_neg_dot' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_number.hpp,173,Label 'e_done' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_number.hpp,225,Label 'e_init' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_number.hpp,228,Label 'e_after_end_num' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_number.hpp,231,Label 'e_first_dot' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_number.hpp,234,Label 'e_second_dot' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_number.hpp,237,Label 'e_done' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/src/detail/json.cpp,113,Label 'e_init' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/src/detail/json.cpp,117,Label 'e_has_n' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/src/detail/json.cpp,121,Label 'e_has_nu' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/src/detail/json.cpp,124,Label 'e_has_nul' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/src/detail/json.cpp,127,Label 'e_has_na' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/src/detail/json.cpp,130,Label 'e_done' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/src/detail/json.cpp,142,Label 'e_init' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/src/detail/json.cpp,146,Label 'e_read_chars' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/src/detail/json.cpp,151,Label 'e_escape' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/src/detail/json.cpp,155,Label 'e_done' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/src/detail/json.cpp,165,Label 'e_init' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/src/detail/json.cpp,169,Label 'e_after_key' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/src/detail/json.cpp,173,Label 'e_done' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/src/detail/json.cpp,183,Label 'e_init' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/src/detail/json.cpp,187,Label 'e_has_open_brace' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/src/detail/json.cpp,192,Label 'e_after_member' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/src/detail/json.cpp,197,Label 'e_after_comma' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/src/detail/json.cpp,201,Label 'e_done' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/src/detail/json.cpp,211,Label 'e_init' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/src/detail/json.cpp,215,Label 'e_has_open_brace' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/src/detail/json.cpp,220,Label 'e_after_value' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/src/detail/json.cpp,225,Label 'e_after_comma' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/src/detail/json.cpp,229,Label 'e_done' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/src/detail/json.cpp,239,Label 'e_init' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/src/detail/json.cpp,248,Label 'e_done' is not used.,cppcheck
zeek,constParameter,auxil/broker/caf/libcaf_core/caf/optional.hpp,288,Parameter 'x' can be declared as pointer to const,cppcheck
zeek,constVariable,auxil/broker/caf/libcaf_core/caf/detail/parser/read_floating_point.hpp,75,Variable 'powerTable' can be declared as const array,cppcheck
zeek,constParameter,build/auxil/binpac/src/pac_parse.cc,1304,Parameter 'yytop' can be declared as pointer to const,cppcheck
zeek,constParameter,build/auxil/binpac/src/pac_parse.cc,1476,Parameter 'yyssp' can be declared as pointer to const,cppcheck
zeek,constParameter,auxil/broker/caf/libcaf_core/caf/optional.hpp,288,Parameter 'x' can be declared as pointer to const,cppcheck
zeek,constParameter,auxil/broker/caf/libcaf_core/caf/span.hpp,56,Parameter 'last' can be declared as pointer to const,cppcheck
zeek,constParameter,auxil/spicy/spicy/hilti/toolchain/include/hilti/base/optional-ref.h,43,Parameter 'default_' can be declared as reference to const,cppcheck
zeek,constParameter,src/3rdparty/nb_dns.c,564,Parameter 'cookie' can be declared as pointer to const,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_ipv4_address.hpp,46,Label 'e_init' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_ipv4_address.hpp,49,Label 'e_read' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_ipv4_address.hpp,69,Label 'e_init' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_ipv4_address.hpp,72,Label 'e_rd_dot' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_ipv4_address.hpp,75,Label 'e_rd_oct' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_ipv4_address.hpp,79,Label 'e_done' is not used.,cppcheck
zeek,redundantCondition,auxil/c-ares/src/lib/ares__parse_into_addrinfo.c,188,Redundant condition: got_cname. '!got_cname || (got_cname && cname_only_is_enodata)' is equivalent to '!got_cname || cname_only_is_enodata',cppcheck
zeek,constVariable,auxil/broker/include/broker/alm/routing_table.hh,171,Variable 'path' can be declared as reference to const,cppcheck
zeek,constParameter,auxil/broker/include/broker/alm/routing_table.hh,353,Parameter 'kvp' can be declared as reference to const,cppcheck
zeek,constVariable,auxil/broker/src/alm/multipath.cc,152,Variable 'mpath' can be declared as reference to const,cppcheck
zeek,constParameter,auxil/broker/caf/libcaf_core/src/detail/monotonic_buffer_resource.cpp,68,Parameter 'where' can be declared as reference to const,cppcheck
zeek,constParameter,auxil/broker/caf/libcaf_core/src/detail/monotonic_buffer_resource.cpp,148,Parameter 'bkt' can be declared as reference to const,cppcheck
zeek,duplicateExpression,auxil/highwayhash/highwayhash/hh_avx2.h,330,Same expression on both sides of '^'.,cppcheck
zeek,duplicateExpression,auxil/highwayhash/highwayhash/hh_avx2.h,332,Same expression on both sides of '=='.,cppcheck
zeek,constParameter,src/Notifier.cc,38,Parameter 'r' can be declared as pointer to const,cppcheck
zeek,constParameter,auxil/binpac/lib/binpac_buffer.cc,149,Parameter 'lbreaker' can be declared as pointer to const,cppcheck
zeek,constVariable,auxil/broker/include/broker/status_subscriber.hh,72,Variable 'msg' can be declared as reference to const,cppcheck
zeek,selfAssignment,auxil/broker/3rdparty/sqlite3.c,165963,Redundant assignment of 'yymsp[0].minor.yy528' to itself.,cppcheck
zeek,unsignedLessThanZero,auxil/broker/3rdparty/sqlite3.c,77977,Checking if unsigned expression 'acc.mxAlloc' is less than zero.,cppcheck
zeek,unsignedPositive,auxil/broker/3rdparty/sqlite3.c,90175,Unsigned expression 'p2' can't be negative so it is unnecessary to test it.,cppcheck
zeek,unsignedLessThanZero,auxil/broker/3rdparty/sqlite3.c,149346,Checking if unsigned expression 'pLoop->u.btree.nBtm' is less than zero.,cppcheck
zeek,unsignedPositive,auxil/broker/3rdparty/sqlite3.c,194844,Unsigned expression 'iTarget' can't be negative so it is unnecessary to test it.,cppcheck
zeek,constVariable,auxil/broker/3rdparty/sqlite3.c,34157,Variable 'a' can be declared as const array,cppcheck
zeek,constParameter,auxil/broker/3rdparty/sqlite3.c,66935,Parameter 'pExcept' can be declared as pointer to const,cppcheck
zeek,constParameter,auxil/broker/3rdparty/sqlite3.c,67272,Parameter 'pCell' can be declared as pointer to const,cppcheck
zeek,constParameter,auxil/broker/3rdparty/sqlite3.c,73377,Parameter 'pBegin' can be declared as pointer to const,cppcheck
zeek,constParameter,auxil/broker/3rdparty/sqlite3.c,104030,Parameter 'p' can be declared as pointer to const,cppcheck
zeek,constParameter,auxil/broker/3rdparty/sqlite3.c,112099,Parameter 'pOnlyIdx' can be declared as pointer to const,cppcheck
zeek,constParameter,auxil/broker/3rdparty/sqlite3.c,117845,Parameter 'pStart' can be declared as pointer to const,cppcheck
zeek,constParameter,auxil/broker/3rdparty/sqlite3.c,120978,Parameter 'aRegIdx' can be declared as pointer to const,cppcheck
zeek,constParameter,auxil/broker/3rdparty/sqlite3.c,124301,Parameter 'aChange' can be declared as pointer to const,cppcheck
zeek,constParameter,auxil/broker/3rdparty/sqlite3.c,124328,Parameter 'aChange' can be declared as pointer to const,cppcheck
zeek,constParameter,auxil/broker/3rdparty/sqlite3.c,124712,Parameter 'pChanges' can be declared as pointer to const,cppcheck
zeek,constParameter,auxil/broker/3rdparty/sqlite3.c,127588,Parameter 'aToOpen' can be declared as pointer to const,cppcheck
zeek,constParameter,auxil/broker/3rdparty/sqlite3.c,129733,Parameter 'xInit' can be declared as pointer to const,cppcheck
zeek,constParameter,auxil/broker/3rdparty/sqlite3.c,133746,Parameter 'pSchema' can be declared as pointer to const,cppcheck
zeek,constParameter,auxil/broker/3rdparty/sqlite3.c,145020,Parameter 'pIdx' can be declared as pointer to const,cppcheck
zeek,constParameter,auxil/broker/3rdparty/sqlite3.c,145706,Parameter 'db' can be declared as pointer to const,cppcheck
zeek,redundantCondition,auxil/broker/3rdparty/sqlite3.c,58822,Redundant condition: The condition 'pgno <= 1' is redundant since 'pgno == 0' is sufficient.,cppcheck
zeek,constParameter,auxil/broker/3rdparty/sqlite3.c,40088,Parameter 'p' can be declared as pointer to const,cppcheck
zeek,constParameter,auxil/broker/3rdparty/sqlite3.c,54458,Parameter 'pData' can be declared as pointer to const,cppcheck
zeek,constParameter,auxil/broker/3rdparty/sqlite3.c,47469,Parameter 'p' can be declared as pointer to const,cppcheck
zeek,constParameter,auxil/broker/3rdparty/sqlite3.c,48740,Parameter 'x' can be declared as pointer to const,cppcheck
zeek,constVariable,auxil/broker/3rdparty/sqlite3.c,220196,Variable 'aBareword' can be declared as const array,cppcheck
zeek,constParameter,auxil/broker/3rdparty/sqlite3.c,234353,Parameter 'pTokenizer' can be declared as pointer to const,cppcheck
zeek,constParameter,auxil/broker/3rdparty/sqlite3.c,236963,Parameter 'aBuf' can be declared as pointer to const,cppcheck
zeek,constParameter,auxil/broker/3rdparty/sqlite3.c,237184,Parameter 'xCreate' can be declared as pointer to const,cppcheck
zeek,constParameter,auxil/broker/3rdparty/sqlite3.c,237987,Parameter 'aArray' can be declared as pointer to const,cppcheck
zeek,constParameter,auxil/broker/3rdparty/sqlite3.c,99350,Parameter 'pAux' can be declared as pointer to const,cppcheck
zeek,constVariable,auxil/broker/3rdparty/sqlite3.c,208089,Variable 'aRes' can be declared as const array,cppcheck
zeek,uselessAssignmentPtrArg,auxil/broker/3rdparty/sqlite3.c,42656,Assignment of function parameter has no effect outside the function. Did you forget dereferencing it?,cppcheck
zeek,redundantInitialization,auxil/broker/3rdparty/sqlite3.c,37733,Redundant initialization for 'pInode'. The initialized value is overwritten before it is read.,cppcheck
zeek,unusedLabelSwitch,auxil/broker/src/internal_command.cc,11,Label 'action' is not used. Should this be a 'case' of the enclosing switch()?,cppcheck
zeek,unusedLabelSwitch,auxil/broker/src/internal_command.cc,12,Label 'producer_control' is not used. Should this be a 'case' of the enclosing switch()?,cppcheck
zeek,unusedLabelSwitch,auxil/broker/src/internal_command.cc,13,Label 'consumer_control' is not used. Should this be a 'case' of the enclosing switch()?,cppcheck
zeek,redundantInitialization,build/auxil/binpac/pac_scan.cc,1841,Redundant initialization for 'c'. The initialized value is overwritten before it is read.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_ipv6_address.hpp,59,Label 'e_init' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_ipv6_address.hpp,62,Label 'e_read' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_ipv6_address.hpp,115,Label 'e_init' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_ipv6_address.hpp,118,Label 'e_read' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_ipv6_address.hpp,125,Label 'e_read_octet' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_ipv6_address.hpp,130,Label 'e_read_last_octet' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_ipv6_address.hpp,216,Label 'e_init' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_ipv6_address.hpp,223,Label 'e_maybe_has_l32' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_ipv6_address.hpp,228,Label 'e_rd_sep' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_ipv6_address.hpp,233,Label 'e_has_sep' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_ipv6_address.hpp,237,Label 'e_rd_prefix' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_ipv6_address.hpp,250,Label 'e_maybe_done' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_ipv6_address.hpp,255,Label 'e_rd_prefix_sep' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_ipv6_address.hpp,259,Label 'e_rd_next_prefix' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_ipv6_address.hpp,264,Label 'e_rd_suffix' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_ipv6_address.hpp,273,Label 'e_rd_next_suffix' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_ipv6_address.hpp,277,Label 'e_done' is not used.,cppcheck
zeek,constParameter,auxil/broker/caf/libcaf_core/caf/detail/parser/read_ipv6_address.hpp,187,Parameter 'bytes' can be declared as pointer to const,cppcheck
zeek,constParameter,auxil/broker/caf/libcaf_core/caf/detail/parser/read_ipv6_address.hpp,194,Parameter 'bytes' can be declared as pointer to const,cppcheck
zeek,constParameter,auxil/broker/caf/libcaf_core/caf/span.hpp,56,Parameter 'last' can be declared as pointer to const,cppcheck
zeek,constParameter,auxil/c-ares/src/lib/ares_init.c,2486,Parameter 'pat' can be declared as pointer to const,cppcheck
zeek,unsignedLessThanZero,auxil/c-ares/src/lib/ares_parse_caa_reply.c,135,Checking if unsigned expression 'caa_curr->plength' is less than zero.,cppcheck
zeek,unsignedLessThanZero,auxil/c-ares/src/lib/ares_parse_caa_reply.c,152,Checking if unsigned expression 'caa_curr->length' is less than zero.,cppcheck
zeek,constParameter,src/iosource/PktDumper.cc,56,Parameter 'arg_props' can be declared as reference to const,cppcheck
zeek,constParameter,src/iosource/PktDumper.cc,70,Parameter 'msg' can be declared as reference to const,cppcheck
zeek,constVariable,auxil/broker/include/broker/status_subscriber.hh,72,Variable 'msg' can be declared as reference to const,cppcheck
zeek,selfAssignment,src/3rdparty/sqlite3.c,165963,Redundant assignment of 'yymsp[0].minor.yy528' to itself.,cppcheck
zeek,unsignedLessThanZero,src/3rdparty/sqlite3.c,77977,Checking if unsigned expression 'acc.mxAlloc' is less than zero.,cppcheck
zeek,unsignedPositive,src/3rdparty/sqlite3.c,90175,Unsigned expression 'p2' can't be negative so it is unnecessary to test it.,cppcheck
zeek,unsignedLessThanZero,src/3rdparty/sqlite3.c,149346,Checking if unsigned expression 'pLoop->u.btree.nBtm' is less than zero.,cppcheck
zeek,unsignedPositive,src/3rdparty/sqlite3.c,194844,Unsigned expression 'iTarget' can't be negative so it is unnecessary to test it.,cppcheck
zeek,constVariable,src/3rdparty/sqlite3.c,34157,Variable 'a' can be declared as const array,cppcheck
zeek,constParameter,src/3rdparty/sqlite3.c,66935,Parameter 'pExcept' can be declared as pointer to const,cppcheck
zeek,constParameter,src/3rdparty/sqlite3.c,67272,Parameter 'pCell' can be declared as pointer to const,cppcheck
zeek,constParameter,src/3rdparty/sqlite3.c,73377,Parameter 'pBegin' can be declared as pointer to const,cppcheck
zeek,constParameter,src/3rdparty/sqlite3.c,104030,Parameter 'p' can be declared as pointer to const,cppcheck
zeek,constParameter,src/3rdparty/sqlite3.c,112099,Parameter 'pOnlyIdx' can be declared as pointer to const,cppcheck
zeek,constParameter,src/3rdparty/sqlite3.c,117845,Parameter 'pStart' can be declared as pointer to const,cppcheck
zeek,constParameter,src/3rdparty/sqlite3.c,120978,Parameter 'aRegIdx' can be declared as pointer to const,cppcheck
zeek,constParameter,src/3rdparty/sqlite3.c,124301,Parameter 'aChange' can be declared as pointer to const,cppcheck
