Rule,Repairable,cppcheck git,rank,clang-tidy git,rank,rosecheckers git,rank,scan-build git,cppcheck zeek5,rank,rosecheckers zeek5,rank,clang-tidy zeek5,rank,cppcheck dos2unix,rosecheckers dos2unix,clang-tidy dos2unix,Title,Severity,Liklihood,Remediation,Priority,Level
ERR33-C,yes,,,950,7,132,,,,,20,,124,,,,233,Detect and handle standard library errors,High,Likely,Medium,18,1
ERR34-C,yes,,,32,,32,,,,,23,,13,,,,,Detect errors when converting a string to a number,Medium,Unlikely,Medium,4,3
ERR58-CPP,,,,,,,,,,,,,9,,,,,Handle all exceptions thrown before main() begins executing,Low,Likely,Low,9,2
ERR60-CPP,no,,,,,,,,,,86,,,,,,,Exception objects must be nothrow copy constructible,Low,Probable,Medium,4,3
ERR61-CPP,,,,,,,,,1,,,,,,,,,Catch exceptions by lvalue reference,Low,Unlikely,Low,3,3
EXP05-C,no,,,,,477,,,,,77,,3,,,,,Do not cast away a const qualification,Medium,Probable,Medium,8,2
EXP09-C,,,,,,4,,,,,7,,,,,,,Use sizeof to determine the size of a type or variable,High,Unlikely,Medium,6,2
EXP12-C,yes,,,,,3670,2,,,,507,7,1,,,14,,Do not ignore values returned by functions,Medium,Unlikely,Medium,4,3
EXP15-C,,,,2,,,,,,,,,14,,,,,"Do not place a semicolon on the same line as an if, for, or while statement",High,Likely,Low,27,1
EXP19-C,yes,,,20571,1,,,,,,,,4413,3,,,156,"Use braces for the body of an if, for, or while statement",Medium,Probable,Medium,8,2
EXP30-C,no,,,,,68,,,,,5,,,,,2,,Do not depend on the order of evaluation for side effects,Medium,Probable,Medium,8,2
EXP32-C,,,,,,1,,,,,2,,,,,,,Do not access a volatile object through a nonvolatile reference,Low,Likely,Medium,6,2
EXP33-C,yes,1,8,9157,2,,,11,29,,,,5225,1,1,,30,Do not read uninitialized memory,High,Probable,Medium,12,1
EXP34-C,yes,20,5,77,,,,63,53,6,17,,44,,2,,,Do not dereference null pointers,High,Likely,Medium,18,1
EXP36-C,no,,,,,2032,5,,,,94,,,,,,,Do not cast pointers into more strictly aligned pointer types,Low,Probable,Medium,4,3
EXP37-C,,,,,,,,,,,,,2,,,,,Call functions with the correct number and type of arguments,Medium,Probable,High,4,3
EXP39-C,no,,,,,307,,,,,99,,,,,,,Do not access a variable through a pointer of an incompatible type,Medium,Unlikely,High,2,3
EXP42-C,,,,3,,4,,,,,4,,1,,,,,Do not compare padding data,Medium,Probable,Medium,8,2
EXP44-C,no,,,,,169,,,,,2,,,,,,,"Do not rely on side effects in operands to sizeof, _Alignof, or _Generic",Low,Unlikely,Low,3,3
EXP45-C,yes,,,253,,,,,,,,,186,10,,,19,Do not perform assignments in selection statements,Low,Likely,Medium,6,2
EXP63-CPP,no,,,,,,,,4,,,,,,,,,Do not rely on the value of a moved-from object,Medium,Probable,Medium,8,2
FIO01-C,,,,,,2,,,,,,,,,,,,Be careful using functions that use file names for identification,Medium,Likely,Medium,12,1
FIO11-C,,,,,,,,,,,1,,,,,,,Take care when specifying the mode parameter of fopen(),Medium,Probable,Medium,8,2
FIO13-C,no,,,,,,,,,,,,,,,6,,Never push back anything other than one read character,Medium,Probable,High,4,3
FIO30-C,no,,,,,6,,,,,,,,,,112,,Exclude user input from format strings,High,Likely,Medium,18,1
FIO34-C,no,,,,,,,,,,,,,,,4,,Distinguish between characters read from a file and EOF or WEOF,High,Probable,Medium,12,1
FIO38-C,,,,1,,,,,,,,,,,,,,Do not copy a FILE object,Low,Probable,Medium,4,3
FIO42-C,no,1,10,64,,14,,,,,3,,,,,,,Close files when they are no longer needed,Medium,Unlikely,Medium,4,3
FIO47-C,no,1,,,,,,,31,8,,,,,,,,Use valid format strings,High,Unlikely,Medium,6,2
FLP02-C,,,,,,1,,,,,11,,,,,,,Avoid using floating-point numbers when precise computation is needed,Low,Probable,High,2,3
FLP03-C,,,,,,14,,,,,11,,,,,,,Detect and handle floating-point errors,Low,Probable,High,2,3
FLP06-C,,,,,,1,,,,,,,,,,,,Convert integers to floating point for floating-point operations,Low,Probable,Low,6,2
FLP34-C,,,,,,1,,,,,6,,,,,,,Ensure that floating-point conversions are within range of the new type,Low,Unlikely,Low,3,3
INT01-C,no,,,,,3187,3,,,,925,4,,,,7,,Use rsize_t or size_t for all integer values representing the size of an object,Medium,Probable,Medium,8,2
INT07-C,no,,,,,539,,,,,247,10,,,,7,,Use only explicitly signed or unsigned char type for numeric values,Medium,Probable,Medium,8,2
INT13-C,no,,,7758,3,5814,1,,,,736,5,4531,2,,4,84,Use bitwise operators only on unsigned operands,High,Unlikely,Medium,6,2
INT14-C,no,,,,,1288,8,,,,174,,,,,2,,Avoid performing bitwise and arithmetic operations on the same data,Medium,Unlikely,Medium,4,3
INT18-C,yes,,,192,,,,,,,,,80,,,,,Evaluate integer expressions in a larger size before comparing or assigning to that size,High,Likely,Medium,18,1
Alerts,,420,,50183,,27162,,147,2316,,10885,,20447,,10,170,645,"Total alerts for this SA tool on this codebase,,",,,,,
Rules,,13,,29,,49,,4,24,,45,,41,,5,15,11,Number of rules detected by this SA tool on this codebase,,,,,
10 repairable,,4,,7,,5,,3,6,,6,,8,,3,1,4,"Number of rules in the top 10 that are repairable ,",,,,,
Repaired-10,,286,,32823,,6387,,143,1497,,1616,,10704,,8,14,422,Number of alerts covered by the top 10 repairable rules that are repairable (perhaps outside '10 repairable'),,,,,
%,,68.1,,65.4,,23.5,,97.2,64.6,,14.8,,52.3,,80.0,8.2,65.4,Ratio of Repaired-10 / Alerts,,,,,
